date,time,temp,hum,dust,mdust
2024-11-21,02:57:20,23,49,20,20
2024-11-21,02:57:49,23,49,22,21
2024-11-21,02:58:19,23,49,18,18
2024-11-21,02:58:48,23,49,25,25
2024-11-21,02:59:17,23,49,23,22
2024-11-21,02:59:46,23,49,20,20
2024-11-21,03:00:16,23,49,24,22
2024-11-21,03:00:45,23,49,20,19
2024-11-21,03:01:14,23,49,23,23
2024-11-21,03:01:44,23,49,25,24
2024-11-21,03:02:13,23,49,20,19
2024-11-21,03:02:42,23,49,24,24
2024-11-21,03:03:11,23,49,19,18
2024-11-21,03:03:41,23,49,25,24
2024-11-21,03:04:10,23,49,25,25
2024-11-21,03:04:39,23,49,21,21
2024-11-21,03:05:08,23,49,21,18
2024-11-21,03:05:38,23,49,21,19
2024-11-21,03:06:07,23,49,23,22
2024-11-21,03:06:36,23,49,23,23
2024-11-21,03:07:05,23,49,24,23
2024-11-21,03:07:35,23,49,20,20
2024-11-21,03:08:04,23,49,20,20
2024-11-21,03:08:33,23,49,20,20
2024-11-21,03:09:02,23,49,26,24
2024-11-21,03:09:32,23,49,21,19
2024-11-21,03:10:01,23,49,23,22
2024-11-21,03:10:30,23,49,20,20
2024-11-21,03:10:59,23,49,23,23
2024-11-21,03:11:29,23,49,23,21
2024-11-21,03:11:58,23,49,21,21
2024-11-21,03:12:27,23,49,20,20
2024-11-21,03:12:56,23,49,23,22
2024-11-21,03:13:26,23,49,25,24
2024-11-21,03:13:55,23,49,23,22
2024-11-21,03:14:24,23,49,22,22
2024-11-21,03:14:53,23,49,26,24
2024-11-21,03:15:23,23,49,20,19
2024-11-21,03:15:52,23,49,23,22
2024-11-21,03:16:21,23,49,20,18
2024-11-21,03:16:50,23,49,21,20
2024-11-21,03:17:20,23,49,26,24
2024-11-21,03:17:49,23,49,22,21
2024-11-21,03:18:18,23,49,23,22
2024-11-21,03:18:47,23,49,24,23
2024-11-21,03:19:17,23,49,24,22
2024-11-21,03:19:46,23,49,23,23
2024-11-21,03:20:15,23,49,21,21
2024-11-21,03:20:45,23,49,21,21
2024-11-21,03:21:14,23,49,20,20
2024-11-21,03:21:43,23,49,24,22
2024-11-21,03:22:12,23,49,20,19
2024-11-21,03:22:42,23,49,20,20
2024-11-21,03:23:11,23,49,21,21
2024-11-21,03:23:40,23,49,23,22
2024-11-21,03:24:09,23,49,20,20
2024-11-21,03:24:39,23,49,21,19
2024-11-21,03:25:08,23,49,23,22
2024-11-21,03:25:37,23,49,26,25
2024-11-21,03:26:06,23,49,21,20
2024-11-21,03:26:36,23,49,23,21
2024-11-21,03:27:05,23,49,22,22
2024-11-21,03:27:34,23,49,23,23
2024-11-21,03:28:03,23,49,19,19
2024-11-21,03:28:33,23,49,20,20
2024-11-21,03:29:02,23,49,22,22
2024-11-21,03:29:31,23,49,19,16
2024-11-21,03:30:00,23,49,27,25
2024-11-21,03:30:30,23,49,19,19
2024-11-21,03:30:59,23,49,19,19
2024-11-21,03:31:28,23,49,24,23
2024-11-21,03:31:57,23,49,21,20
